method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Direct-output selector,1617,component_dropout,0.171161301,0.00281982422,0.990173326,0.980549835,1,1,0,0.949643132
Input,1637,component_dropout,0.067877593,0.00146484375,0.997705106,0.995420721,1,0,0,0.964285714
Validation best,1637,component_dropout,0.067877593,0.00146484375,0.997705106,0.995420721,1,0,0,0.964285714
Action-coordinate selector,1637,component_dropout,0.067877593,0.00146484375,0.997705106,0.995420721,1,0,0,0.964285714
Direct-output selector,1637,component_dropout,0.0681202934,0.0017578125,0.997244839,0.994504865,1,0,0,0.964285714
Input,1684,component_dropout,0.0602010843,0.0087890625,0.978891821,0.958656331,1,0,0,0.936
Validation best,1684,component_dropout,0.0602010843,0.0087890625,0.978891821,0.958656331,1,0,0,0.936
Action-coordinate selector,1684,component_dropout,0.0602010843,0.0087890625,0.978891821,0.958656331,1,0,0,0.936
Direct-output selector,1684,component_dropout,0.0617853743,0.010144043,0.975608586,0.952382962,1,0,0,0.935145382
Input,1688,component_dropout,0.0672230385,0.00048828125,0.998853211,0.997709049,1,0,0,0.98757764
Validation best,1688,component_dropout,0.167292511,0.000549316406,0.998710047,0.997423418,1,1,0,0.98757764
Action-coordinate selector,1688,component_dropout,0.167292511,0.000549316406,0.998710047,0.997423418,1,1,0,0.98757764
Direct-output selector,1688,component_dropout,0.168667526,0.0017578125,0.995876757,0.991791028,1,1,0,0.974468366
Input,1706,component_dropout,0.0706636325,0.00451660156,0.992265886,0.984650487,1,0,0,0.955654102
Validation best,1706,component_dropout,0.204104328,0.00463867188,0.992058516,0.984242173,1,2,0,0.954495006
Action-coordinate selector,1706,component_dropout,0.204104328,0.00463867188,0.992058516,0.984242173,1,2,0,0.954495006
Direct-output selector,1706,component_dropout,0.205624617,0.00637207031,0.989124492,0.978501379,1,2,0,0.922924291
Input,1710,component_dropout,0.0677326117,0.00134277344,0.998006524,0.99602098,1,0,0,0.970350404
Validation best,1710,component_dropout,0.0677326117,0.00134277344,0.998006524,0.99602098,1,0,0,0.970350404
